,text
229,"Các dịch vụ của cohost ai Cohost ơi, mở ra!"
230,Kho template Đắm chìm trong kho template và thoả sức chọn lựa mẫu yêu thích
231,"Website độc nhất Thiết kế website phù hợp với nhu cầu, thương hiệu của khách hàng"
232,Lập trình website Xây dựng website sang - xịn - mịn với tốc độ tải trang trong nháy mắt
233,Kho template Đắm chìm trong kho template và thoả sức chọn lựa mẫu yêu thích
234,"Website độc nhất Thiết kế website phù hợp với nhu cầu, thương hiệu của khách hàng"
235,Lập trình website Xây dựng website sang - xịn - mịn với tốc độ tải trang trong nháy mắt
236,Bắt đầu ngay
237,Bạn đã sẵn sàng sử dụng Cohost AI? Tải ứng dụng ngay tại đây!
238,Cohost Homepage
239,Giải pháp
240,"Homestays, Villa, Resort, Apartment chains Giải pháp cho chủ homestays, Villa, Resort, Apartment chains"
241,Hotel & hotel chains Giải pháp cho chủ khách sạn & chuỗi khách sạn
242,Serviced Apartments Giải pháp cho chủ căn hộ dịch vụ
243,Cohost Giải pháp dành cho Cohost
244,Dịch vụ
245,Website Tạo dựng & thiết kế website
246,Về chúng tôi
247,Bảng giá
248,Bảng giá
249,Tìm hiểu thêm
250,BlogHọc việnTuyển dụngCâu hỏi thường gặp
251,Liên hệ
252,VI
253,EN
254,Đăng nhập Dùng thử Hamburger Menu
255,Liên hệ với chúng tôi
256,Thank you! Your submission has been received! Oops! Something went wrong while submitting the form
257,Trở thành quản gia công nghệ! Hãy bắt đầu ngay với chúng tôi và biến công việc kinh doanh lưu trú của bạn trở nên dễ dàng hơn bằng Cohost AI
258,Cảm ơn bạn đã đăng ký! Chúng tôi sẽ liên lạc với bạn trong thời gian sớm nhất. Oops! Something went wrong while submitting the form
259,"Cohost Homepage Cohost AI logo Quản lý nhà minh bạch, thông minh.Kinh doanh homestay hiệu quả, bền vững"
260,Liên hệ với chúng tôi contact@cohost.vn
261,Hotline 0375918808
262,Công ty Về chúng tôi
263,Vị trí tuyển dụng
264,Học viện
265,Liên hệ
266,Giải pháp chuyên dụng Homestays
267,Hotels & Chuỗi căn hộ
268,Serviced Apartments
269,Cohost
270,Các bài viết mới nhất
271,Công nghệ trong ngành Hospitality: 4 xu hướng mới nhất năm 2023
272,Hotel Management và Hospitality Management khác nhau ở đâu?
273,Điểm mặt 6 xu hướng đang thay đổi ngành Hospitality năm 2023
274,Tất cả bài viết
275,Trải nghiệm ứng dụng
276,Follow us
277,Cohost's Facebook Cohost's Twitter Cohost's Pinterest Cohost's LinkedIn Cohost's Youtube
278,©2023 Cohost.AI - All Rights Reserved Website by Lenonguyen
279,Các vị trí tuyển dụng
280,Mobile App Engineer (Flutter) Have you ever traveled experience? Are you passionate about building mobile apps? (we are not an outsourcing company). Do you want to ship products to global users? Join us now!!!
281,"Responsibilities Develop applications on Android platform for Cohost Club - travel and homestay sharing platform. Ensure product quality, performance and stability. Collaborate with other team members and other departments to build new features. Fix bugs, change products to match operating needs. ‍ Challenges Release twice a week. CI/CD, just like our server code. Take user feedback seriously. Work with designers effectively. Analyze user behaviors. Quality Assurance for all supported devices and OS. Must Have Fundamental computer science concepts. Passion for solving user's problems. Have built working mobile apps. What's great in the job? Join a small but quickly growing team with international backgrounds. Opportunity to work and learn with experienced founders team and state-of-the-art technologies. Enjoy various perks and benefits from a wide network of merchants. Grow your professional skills at one of the most exciting prop-tech companies in Vietnam and... Experience the fun & excitement of working in a fast-paced environment. Flexible hours and locations. Travel benefits such as free accommodation and our own experiences.. ‍"
282,Ứng tuyển Điển vào form bên dưới và chúng tôi sẽ liên hệ với bạn sớm nhất có thể
283,Select one... First Choice Second Choice Third Choice
284,Tải lên CV
285,Thank you! Your submission has been received! Oops! Something went wrong while submitting the form
286,Các vị trí tuyển dụng
287,"Kỹ sư phần mềm Backend Cohost AI Vietnam là công ty tiên phong trong việc áp dụng công nghệ vào vận hành nhà cho thuê (home-sharing), kinh doanh lưu trú đa nền tảng; được thành lập ở thung lũng Silicon Valley, Hoa Kỳ, bởi các chuyên gia Việt Nam và quốc tế"
288,Mô tả công việc
289,"Phát triển các ứng dụng trên nền tảng Web cho Cohost Club - nền tảng chia sẻ du lịch và homestay.  Đảm bảo chất lượng hiệu năng cũng như độ ổn định của sản phẩm. Cộng tác với các thành viên khác trong team và bộ phận khác để xây dựng các tính năng mới. Sửa lỗi, thay đổi sản phẩm để phù hợp nhu cầu vận hành"
290,Yêu cầu công việc YÊU CẦU BẮT BUỘC
291,"Có kinh nghiệm phát triển ứng dụng thời gian thực Thành thạo ít nhất một ngôn ngữ Python, NodeJS Có hiểu biết về kiến trúc Micro-services Nắm vững về RESTful APIs và giao tiếp giữa các API Có kinh nghiệm làm việc với Redis, Elasticsearch, Mysql, Kafka"
292,YÊU CẦU ƯU TIÊN
293,"Nắm vững về GraphQL APIs và giao tiếp giữa các API Đã làm việc AWS hoặc Google Cloud Đã từng làm việc với các hệ thống chat Có hiểu biết về AI, Machine Learning Có thể lên kế hoạch, thiết kế hệ thống Hoà đồng, có khả năng làm việc team-work tốt Có khả năng tự học và nghiên cứu công nghệ mới"
294,Quyền lợi
295,"Thu nhập cạnh tranh hấp dẫn & bonus hấp dẫn Chế độ lương hấp dẫn, lương tháng 13, xét thưởng theo năm, thưởng thêm vào các dịp lễ, tết, đánh giá hàng quý xét tăng lương ít nhất 2 lần/ 1 năm, có năng lực sẽ được đánh giá ngay tại thời điểm Được nghỉ phép 12 ngày phép/ năm mà lương vẫn được nhận bình thường Giờ giấc làm việc linh hoạt, có thể làm remote Làm việc trong môi trường trẻ trung, năng động, sếp và đồng nghiệp siêu thân thiện Giải thưởng sáng tạo hàng tuần Tổ chức ăn uống, party mỗi cuối tuần (TGIF) Có chỗ ngủ trưa thoải mái + hỗ trợ ăn trưa/phụ cấp Cung cấp máy tính/laptop/thiết bị làm việc Được training & làm việc với các chuyên gia hàng đầu trong nước và nước ngoài sẽ giúp bạn tích lũy nâng cao kiến thức Các chuyến đi công tác giống như đi du lịch, được tài trợ các hoạt động cộng trong team, được giao lưu nâng cao kiến thức lập trình và trải nghiệm thực tế Team Building hàng năm, được khám phá những đặc sản, địa danh nổi tiếng trên thế giới Văn phòng rộng rãi, thoáng mát, tiện nghi; Có bếp, bánh, trà, café, tủ snack hoặc thích ăn gì là được mua cái đó Được mặc thoải mái những gì bạn thích đơn giản để bạn có thể thỏa sức sáng tạo"
296,‍
297,Ứng tuyển Điển vào form bên dưới và chúng tôi sẽ liên hệ với bạn sớm nhất có thể
298,Select one... First Choice Second Choice Third Choice
299,Tải lên CV
300,Thank you! Your submission has been received! Oops! Something went wrong while submitting the form
301,Các vị trí tuyển dụng
302,"Bussiness Developer Cohost AI Vietnam is a pioneer in applying technology to operating a home-sharing, multi-platform accommodation business; was established in Silicon Valley, the USA by Vietnamese and international experts"
303,"Job description Monitor and evaluate industry trends and customer drivers, and meet regularly with management and stakeholders to discuss strategy Generate new leads, identify and contact decision-makers, screen potential business opportunities, select deals in line with strategies, and facilitate pitch logistics Promotion of commercialization of our App (participating in events, workshops; webinars,...). Coordinate with the marketing team to come up with product promotion ideas. Develop and implement overarching outbound sales and business development strategy, sales processes, structure, and best practices across the company Support deal structure and pricing with business-value analysis, and negotiate prices for proactive bids and proposals. Consulting, answering information of customers and partners about the company's products. Communicate regularly with customers about using the App to continuously upgrade the App to give users a better experience. Maintain and share professional knowledge through education, networking, events, and presentations Requirements At least 1 year working in BD position (or a similar position) in the field of tourism, hotel management, real estate, F&B University graduate majoring: Tourism, hotel management, real estate, Economics, Commerce, Business administration, marketing, foreign languages Proficiency in data analysis, forecasting, and budgeting Foreign language: Good at English (reading, writing) Nice to have Experience in sales techniques Experience with PMS software Excellent verbal and written communication, and presentation skill"
304,Ứng tuyển Điển vào form bên dưới và chúng tôi sẽ liên hệ với bạn sớm nhất có thể
305,Select one... First Choice Second Choice Third Choice
306,Tải lên CV
307,Thank you! Your submission has been received! Oops! Something went wrong while submitting the form
308,Các vị trí tuyển dụng
309,"Data & Machine Learning Engineer Love to analyze data and devise insight from it? We have gather millions data points every day about the world of home sharers and real estate industry around the world. Jupiter Notebook, Tensorflow, pyTorch, Airflow, Superset, d3js sounds familiar? Shoot us an email NOW!!!"
310,Responsibilities
311,Do ad-hoc analysis and present results in a clear manner. Jupyter Notebook is a plus. Convert valuable ad-hoc analysis into standard customer reports. Google Data Studio is a plus. Selecting and integrating any big data tools and frameworks necessary to:
312,Apply state-of-the-art machine learning techniques  Visualize data from our customers in real time
313,"Extending cohost.ai’s data with third party sources of information when needed Processing, cleansing, and verifying the integrity of data used for analysis"
314,Challenges
315,Analyze 1M conversations in minutes. Predict pricing for thousands listings per day.   Turn data into products. Collaborate effectively during Covid19. Share everything you do with smart colleagues. Have fun even when a crisis happens
316,Must Have
317,"Good understanding of data structures, algorithms and design patterns.  Good command of source code management such as Github/Gitlab Good. English writing skill is a plus. Understand SOA - Service Oriented Architecture, RESTful API.  Passionate about the latest developments in technology  Fast learner and open to constructive criticism"
318,What's great about the job?
319,Join a small but quickly growing team with international backgrounds.  Opportunity to work and learn with an experienced founders team and state-of-the-art technologies.  Enjoy various perks and benefits from a wide network of merchants  Grow your professional skills at one of the most exciting prop-tech companies in Vietnam and... Experience the fun & excitement of working in a fast-paced environment  Flexible hours and locations.  Travel benefits such as free accommodation and our own experiences
320,Ứng tuyển Điển vào form bên dưới và chúng tôi sẽ liên hệ với bạn sớm nhất có thể
321,Select one... First Choice Second Choice Third Choice
322,Tải lên CV
323,Thank you! Your submission has been received! Oops! Something went wrong while submitting the form
324,Các vị trí tuyển dụng
325,"Data Science Intern Cohost AI Vietnam is a pioneer in applying technology to operating a home-sharing, multi-platform accommodation business; it was established in Silicon Valley, the USA by Vietnamese and international experts"
326,JOB DESCRIPTIONS
327,"Execute analytical work such as segmentation, forecasting, simulation, and mathematical programming Research & Develop custom insights Support in mapping a network to identify potential investors/customers Exploring and validating new techniques for pricing insights and price recommendations, and simulating pricing concepts to assess the potential value and analyze in-market behavior"
328,MUST-HAVE REQUIREMENTS
329,"Basic understanding and use of at least one programming language (R, Python, Scala, etc) Proficiency in data analysis, forecasting, and budgeting Foreign language: Good at English (reading, writing)"
330,NICE-TO-HAVE REQUIREMENTS
331,"University graduate majoring: Tourism, hotel management, real estate, Economics, Commerce, Business administration, marketing, foreign languages Understand basic algorithms in Data Science (such as Linear Regression, Logistics Regression, ADA, XGboost, etc) Have self-researched a data mining topic (show proof) Experience with PMS software Excellent verbal and written communication, and presentation skills"
332,Ứng tuyển Điển vào form bên dưới và chúng tôi sẽ liên hệ với bạn sớm nhất có thể
333,Select one... First Choice Second Choice Third Choice
334,Tải lên CV
335,Thank you! Your submission has been received! Oops! Something went wrong while submitting the form
336,Các vị trí tuyển dụng
337,"Marketing Assistant Cohost AI Vietnam là công ty tiên phong trong việc áp dụng công nghệ vào vận hành nhà cho thuê (home-sharing), kinh doanh lưu trú đa nền tảng; được thành lập ở thung lũng Silicon Valley, Hoa Kỳ, bởi các chuyên gia Việt Nam và quốc tế. Công ty chúng tôi gồm những người trẻ, sáng tạo, đam mê và tâm huyết với công nghệ trí tuệ nhân tạo và du lịch"
338,Mô tả công việc
339,"Hỗ trợ tổ chức nghiên cứu thị trường, phân tích dữ liệu khách hàng Sản xuất content fanpage & edit các ấn phẩm (hình ảnh, video,..) Hỗ trợ quản lý các chiến dịch quảng cáo, seeding các diễn đàn Hỗ trợ tổ chức các sự kiện truyền thông/ xây dựng thương hiệu của công ty Hỗ trợ lên kế hoạch & tổ chức sự kiện online/offline (Workshop, Seminar, Webinar, Giới thiệu sản phẩm, Teambuilding, Gala dinner,…) Lên kế hoạch Digital Marketing phù hợp với chiến lược công ty và trực tiếp triển khai cài đặt các chiến dịch quảng cáo các kênh Digital: Facebook Ads, Google Ads, Zalo Ads… Cập nhật hệ thống đo lường, báo cáo các hoạt động Marketing Phối hợp chặt chẽ với phòng ban khác để đem lại trải nghiệm tốt nhất cho khách hàng Thực hiện các công việc khác cùng với các team theo sự phân bổ của quản lý & Ban Giám Đốc"
340,"Yêu cầu công việc Trình độ học, kinh nghiệm chuyên môn:"
341,"Bằng cử nhân chuyên ngành Marketing, Truyền thông hoặc ngành liên quan Có kinh nghiệm viết content và sản xuất ấn phẩm Kinh nghiệm phân tích dữ liệu và sử dụng các công cụ marketing Kỹ năng giao tiếp và viết lách tốt  Thành thạo Tin học văn phòng, Powerpoint Có kỹ năng về thuyết trình, trình bày giới thiệu sản phẩm hay dẫn chương trình là một lợi thế lớn"
342,Phẩm chất cá nhân:
343,"Có khả năng làm việc độc lập và làm việc nhóm Trung thực, nhanh nhẹn, kiên nhẫn, nhiệt tình trong công tác Có khả năng chịu áp lực cao trong công việc Có tinh thần học hỏi"
344,Quyền lợi
345,"Lương cạnh tranh, theo năng lực (đủ xài và không phải lo lắng về tài chính để bạn có thể tập trung vào công việc) Được làm việc với các chuyên gia đa quốc gia, và các cộng sự có nhiều năm kinh nghiệm phát triển phần mềm cho Google, Amazon, Airbnb Được xét duyệt tăng lương định kỳ 2 lần/năm Thưởng Tết theo kết quả công việc Giờ giấc làm việc linh hoạt Được hưởng các quyền lợi và chế độ theo luật quy định (Các ngày nghỉ lễ, BHXH, BHYT…) Làm việc trong môi trường trẻ trung, năng động, siêu thân thiện TGIF + liên hoan hàng tuần Cung cấp máy tính/laptop/thiết bị làm việc Được thưởng 1 đêm nghỉ dưỡng tại homestay bất kỳ hàng tháng"
346,Ứng tuyển Điển vào form bên dưới và chúng tôi sẽ liên hệ với bạn sớm nhất có thể
347,Select one... First Choice Second Choice Third Choice
348,Tải lên CV
349,Thank you! Your submission has been received! Oops! Something went wrong while submitting the form
350,Các vị trí tuyển dụng
351,"Senior Marketing Manager Tại đây, chúng tôi làm việc trên tinh thần tương hỗ lẫn nhau, liên tục tìm kiếm & tuyển chọn những người thú vị, truyền cảm hứng cho chúng tôi làm việc hăng say hơn. Hy vọng bạn sẽ cùng chúng tôi thay đổi thế giới, làm nó tốt đẹp hơn từng ngày, từng khách hàng một!"
352,Mô tả công việc
353,"Hoạch định và phát triển chiến lược, triển khai và đo lường kế hoạch marketing tổng thể, kế hoạch quảng cáo và sự kiện cho thương hiệu của công ty để có thể phục vụ các đối tác B2B & cũng như phân khúc B2C Theo dõi việc thực hiện và báo cáo kết quả Phân tích thị trường, phân khúc Khách hàng, nghiên cứu sản phẩm đối thủ cạnh tranh... để phát triển thị trường, phát triển hoạt động marketing phù hợp định hướng kinh doanh của công ty Lập kế hoạch, thực thi các chương trình xây dựng thương hiệu, PR, event. Tổ chức sự kiện online/offline (Workshop, Seminar, Webinar, Giới thiệu sản phẩm, Trình bày tour đấu thầu, Teambuilding, Gala dinner,…) Lên kế hoạch Digital Marketing phù hợp với chiến lược công ty và trực tiếp triển khai cài đặt các chiến dịch quảng cáo các kênh Digital: Facebook Ads, Google Ads, Zalo Ads… Thiết lập, duy trì mối quan hệ với truyền thông, báo chí. Triển khai giám sát xây dựng các tài nguyên Marketing Online và Offline Xây dựng hệ thống đo lường báo cáo các hoạt động Marketing Chịu trách nhiệm quản lý, đào tạo và phát triển đội ngũ nhân sự phòng Marketing; giám sát và hoàn thành các chỉ tiêu đã đề ra, báo cáco tổng jeets theo định kỳ và theo yêu cầu. Hỗ trợ các công việc khác cùng với các team theo sự phân bổ của Ban Giám Đốc"
354,"Yêu cầu công việc Trình độ học, kinh nghiệm chuyên môn:"
355,"Có kinh nghiệm làm việc ở vị trí Marketing Am hiểu các bộ phận marketing (bao gồm marketing truyền thống và digital marketing chẳng hạn như SEO và các phương tiện truyền thông xã hội) và các phương pháp nghiên cứu thị trường Kinh nghiệm phân tích dữ liệu và sử dụng các công cụ marketing Sử dụng thành thạo phần mềm MS Office, phần mềm marketing (như Adobe Creative Suite & CRM) và công cụ SEO (Web analytics, Google Adwords...) Kỹ năng giao tiếp và viết lách tốt  Thành thạo Tin học văn phòng, Powerpoint.  Có kỹ năng về trình bày giới thiệu sản phẩm hay đấu thầu"
356,Phẩm chất cá nhân:
357,"Có khả năng làm việc độc lập và làm việc nhóm. Trung thực, nhanh nhẹn, kiên nhẫn, nhiệt tình trong công tác Có khả năng chịu áp lực cao trong công việc. Có tinh thần học hỏi"
358,Quyền lợi
359,"Lương cạnh tranh, theo năng lực (đủ xài và không phải lo lắng về tài chính để bạn có thể tập trung vào công việc). Được làm việc với các chuyên gia đa quốc gia, và các cộng sự có nhiều năm kinh nghiệm phát triển phần mềm cho Google, Amazon, Airbnb. Được xét duyệt tăng lương định kỳ 2 lần/năm Thưởng Tết theo kết quả công việc. Giờ giấc làm việc linh hoạt. Được hưởng các quyền lợi và chế độ theo luật quy định (Các ngày nghỉ lễ, BHXH, BHYT…) Làm việc trong môi trường trẻ trung, năng động, siêu thân thiện TGIF + liên hoan hàng tuần Cung cấp máy tính/laptop/thiết bị làm việc Được thưởng 1 đêm nghỉ dưỡng tại homestay bất kỳ hàng tháng"
360,‍
361,Ứng tuyển Điển vào form bên dưới và chúng tôi sẽ liên hệ với bạn sớm nhất có thể
362,Select one... First Choice Second Choice Third Choice
363,Tải lên CV
364,Thank you! Your submission has been received! Oops! Something went wrong while submitting the form
365,Các vị trí tuyển dụng
366,"SEO Executive Cohost AI Vietnam là công ty tiên phong trong việc áp dụng công nghệ vào vận hành nhà cho thuê (home-sharing), kinh doanh lưu trú đa nền tảng; được thành lập ở thung lũng Silicon Valley, Hoa Kỳ, bởi các chuyên gia Việt Nam và quốc tế. Công ty chúng tôi gồm những người trẻ, sáng tạo, đam mê và tâm huyết với công nghệ trí tuệ nhân tạo và du lịch"
367,Mô tả công việc
368,"Lên kế hoạch SEO dài hạn Nghiên cứu từ khóa cho sản phẩm của doanh nghiệp Nghiên cứu đối thủ cạnh tranh Tối ưu kỹ thuật website Xây dựng backlink, tăng thứ hạng domain"
369,Yêu cầu
370,"Có kinh nghiệm SEO tối thiểu 6 tháng Am hiểu về SEO, các thuật toán của Google Có tư duy về SEO White hat Giao tiếp tốt và làm việc ăn ý với đồng nghiệp Thành thạo các tool SEO (Ahref, Semrush, Search console,...) Hiểu biết về HTML là 1 lợi thế"
371,Quyền lợi
372,"Lương cạnh tranh, theo năng lực  Được làm việc với các chuyên gia đa quốc gia, và các cộng sự có nhiều năm kinh nghiệm phát triển phần mềm cho Google, Amazon, Airbnb  Được xét duyệt tăng lương định kỳ 2 lần/năm Thưởng Tết theo kết quả công việc  Giờ giấc làm việc linh hoạt Được hưởng các quyền lợi và chế độ theo luật quy định (Các ngày nghỉ lễ, BHXH, BHYT…)  Làm việc trong môi trường trẻ trung, năng động, siêu thân thiện TGIF + liên hoan hàng tuần  Cung cấp máy tính/laptop/thiết bị làm việc Được thưởng 1 đêm nghỉ dưỡng tại homestay bất kỳ hàng tháng"
373,‍
374,Ứng tuyển Điển vào form bên dưới và chúng tôi sẽ liên hệ với bạn sớm nhất có thể
375,Select one... First Choice Second Choice Third Choice
376,Tải lên CV
377,Thank you! Your submission has been received! Oops! Something went wrong while submitting the form
378,Các vị trí tuyển dụng
379,"Trainee AI Engineer Cohost AI là một tổ chức khởi nghiệp sáng tạo nhỏ, chúng tôi làm việc trên tinh thần tương hỗ lẫn nhau, liên tục tìm kiếm & tuyển chọn những người thú vị, truyền cảm hứng cho chúng tôi làm việc hăng say hơn. Hy vọng bạn sẽ cùng chúng tôi thay đổi thế giới, làm nó tốt đẹp hơn từng ngày, từng khách hàng một "
380,"Responsibilities - Tham gia phát triển web và ứng dụng mobile trên nền tảng iOS/Android - Thực hiện các nhiệm vụ khác theo yêu cầu của trưởng nhóm. Must Have - Yêu cầu đầu tiên của chúng tôi là sự tò mò, ham học hỏi ở bạn. - Bạn là sinh viên đang trong đợt thực tập của nhà trường hoặc muốn củng cố thêm kiến thức về ngôn ngữ lập trình; - Đã biết cơ bản về lập trình. Vượt qua vòng Entry Test. - Thái độ làm việc tích cực. - Trung thực, nhanh nhẹn, nhiệt tình công tác. - Có khả năng chịu áp lực cao trong công việc. Nice To Have - Có thể đọc hiểu tài liệu Tiếng Anh. - Sinh viên có thời gian làm việc Fulltime và có mong muốn gắn bó lâu dài. What's great in the job? - Hỗ trợ thực tập từ 3.000.000/tháng, phụ cấp ăn trưa, phụ cấp xăng xe. - Được đào tạo trong các dự án thực tế - Được làm việc trong môi trường năng động, thân thiện và chuyên nghiệp, có cơ hội trở thành nhân viên chính thức sau thời gian thực tập. - Cung cấp trang thiết bị đầy đủ để phục vụ công việc. - Hỗ trợ giấy tờ và đóng dấu xác nhận và nhận xét tốt sau khi kết thúc kì thực tập. ‍"
381,Ứng tuyển Điển vào form bên dưới và chúng tôi sẽ liên hệ với bạn sớm nhất có thể
382,Select one... First Choice Second Choice Third Choice
383,Tải lên CV
384,Thank you! Your submission has been received! Oops! Something went wrong while submitting the form
385,Các vị trí tuyển dụng
386,"Web/Frontend Developer Cohost AI Vietnam là công ty tiên phong trong việc áp dụng công nghệ vào vận hành nhà cho thuê (home-sharing), kinh doanh lưu trú đa nền tảng; được thành lập ở thung lũng Silicon Valley, Hoa Kỳ, bởi các chuyên gia Việt Nam và quốc tế"
387,Mô tả công việc
388,"Phát triển các ứng dụng trên nền tảng Web cho Cohost Club - nền tảng chia sẻ du lịch và homestay.  Đảm bảo chất lượng hiệu năng cũng như độ ổn định của sản phẩm. Cộng tác với các thành viên khác trong team và bộ phận khác để xây dựng các tính năng mới. Sửa lỗi, thay đổi sản phẩm để phù hợp nhu cầu vận hành"
389,Yêu cầu công việc
390,"Đã có kinh nghiệm với các frontend framework NodeJS, React, AngularJS, jQuery, Bootstrap… Đã xây dựng sản phẩm web, có >10 người sử dụng. Có kinh nghiệm về declarative UI: React Native, Component Kit, Litho, Swift UI. Thành thục mô hình SOA, Service Oriented Architecture, code RESTful API trong nháy mắt. Sử dụng thành thạo các công cụ quản lý source code, Git/CVS/Mercury, GitHub, GitLab, ... Viết Unit Test dễ dàng khi cần. Hiểu biết quy trình Test Driven Development. Có kinh nghiệm sử dụng các công cụ thiết kế như Balsamiq, Figma, Sketch...  Hiểu biết tốt về hệ thống, quản lý bộ nhớ, tìm và xử lý leak memory. Đã có kinh nghiệm về Mobile development  nữa thì càng tốt. Read/Write/Speak English. Agile Development (Scrum, Standup, Sprint) Sự tò mò, ham học hỏi, có ý chí cầu tiến Sự linh hoạt và khả năng chịu áp lực"
391,Quyền lợi
392,"Lương cạnh tranh, theo năng lực (đủ xài và không phải lo lắng về tài chính để bạn có thể tập trung vào công việc). Cổ phần ESOP (chúng tôi coi bạn là cổ đông, và chia sẻ thành công với bạn). Được làm việc với các chuyên gia đa quốc gia, và các cộng sự có nhiều năm kinh nghiệm phát triển phần mềm cho Google, Amazon, Airbnb. Được xét duyệt tăng lương định kỳ 2 lần/năm Thưởng Tết theo kết quả công việc. Giờ giấc làm việc linh hoạt. Được hưởng các quyền lợi và chế độ theo luật quy định (Các ngày nghỉ lễ, BHXH, BHYT…) Cơ hội đi du lịch miễn phí nhờ sản phẩm của công ty. Làm việc trong môi trường trẻ trung, năng động, siêu thân thiện TGIF + liên hoan hàng tuần Macbook Pro, Flat screen monitor"
393,‍
394,Ứng tuyển Điển vào form bên dưới và chúng tôi sẽ liên hệ với bạn sớm nhất có thể
395,Select one... First Choice Second Choice Third Choice
396,Tải lên CV
397,Thank you! Your submission has been received! Oops! Something went wrong while submitting the form
398,"Giải pháp cho chủ căn hộ dịch vụ - serviced apartment Loại bỏ tất cả những khó khăn mà những chủ nhà đang gặp phải là sứ mệnh của Cohost AI. Hãy cùng chúng tôi kinh doanh thông minh, hiệu quả, tối ưu"
399,Dùng thử ngay
400,"nền tảng cohost Đồng hành cùng Cohost AI, bạn sẽ"
401,Tăng số lượng khách hàng trung thành Việc chăm sóc khách hàng tốt trong ngành dịch vụ này là tối quan trọng. Thậm chí bạn còn có thể làm tốt hơn thế với tính năng quản lí CRM có trong Cohost AI
402,"Nói lời tạm biệt với overbookings Overbooking thật sự rất phiền phức và mất thời gian để giải quyết một cách triệt để. Cohost AI sẽ giúp bạn đồng bộ lịch trên các kênh OTA một cách tự động, từ đó bạn sẽ hạn chế được việc bị overbookings"
403,Tối ưu hóa lợi nhuận So với việc tuyển dụng nhân sự cho việc vận hành và quản lí. Sử dụng Cohost AI sẽ giúp bạn tiết kiệm được 30% chi phí và gia tăng 18% doanh thu so với bình thường
404,"Trải nghiệm chuẩn 5 sao Cohost AI giúp bạn làm việc với các nhân viên dọn dẹp hiệu quả hơn. Kiểm soát được tình trạng phòng sau khi check-in, check-out một cách chính xác"
405,Dịch vụ hoàn hảo - Chăm khách chuẩn 5 sao
406,"Quản lí đa kênh Điều chỉnh giá, trạng thái, lịch của listings chỉ trên 1 nền tảng duy nhất. Các thay đổi sẽ được câp nhật và đồng bộ trên các kênh OTA một cách hoàn toàn tự động"
407,Tự động hoá lịch làm việc Tự động hóa lịch làm việc
408,Kiểm soát mọi hoạt động Mọi hoạt động trong kinh doanh của bạn đều được ghi chép lại. Việc kiểm soát mọi hoạt động sẽ giúp bạn giảm thiểu những tai nạn không đáng có
409,Quản lý đầu cuối - Xử lý gọn mọi yêu cầu:
410,"Hệ thống thông tin khách hàng Thông tin khách hàng được quản lí một cách trực quan, tiện lợi. Từ đó tối ưu hóa luồng chăm sóc khách hàng"
411,"Minh bạch thu chi Báo cáo tài chính chi tiết, minh bạch theo từng tháng. Dễ dàng quản lí và đánh giá tình hình kinh doanh"
412,Truy cập đa thiết bị Truy cập ứng dụng trên nhiều thiết bị và nền tảng khác nhau. Quản lí vô cùng thuận tiện và linh hoạt
413,Câu chuyện thành công
414,Khách hàng nói gì về chúng tôi
415,Testimonial swipe left Testimonial swipe right
416,"Mình đồng cảm với các chủ nhà về những khó khăn khi vận hành chuỗi homestay bởi sẽ không ít các chi phí nhỏ lẻ phát sinh dồn lại, như vậy sẽ tốn rất nhiều sức lực và thời gian để giải quyết từng chi phí ấy. Điều này đã thôi thúc mình phải tìm kiếm giải pháp cho bằng được và Cohost Club chính là giải pháp và lựa chọn đúng đắn nhất của mình"
417,Dhouse Dalat Villa
418,"Trong thời gian đầu mới vận hành homestay, tuần nào mình cũng bị trả về các feedback phàn nàn căn nhà ở không được dọn dẹp, trong khi đó mình được báo từ maid là đã dọn. Và mình đã mất một khoảng thời gian để giải bài toán này. Thật may, trời không phụ lòng người! Mình biết đến Cohost Club và vấn đề được giải quyết triệt để"
419,Ao Garden Villa
420,"Cohost AI đã giúp tôi tiêt kiệm được rất nhiều thời gian. Tôi có thật nhiều thời gian để tập trung vào cải thiện trải nghiệm lưu trú, nghiên cứu thị trường. Nếu không có Cohost AI thì có lẽ tôi sẽ phải dùng thời gian đó vào việc trả lời từng tin nhắn khách hàng, điều phối listings trên các kênh OTA"
421,Veque Homestay Homestay
422,"Cảm ơn Cohost Club đã giúp mình vận hành homestay hiệu quả hơn. Giờ đây có thể chuyển đổi số mà không phải lo đến chi phí cố định nữa. Hiện tại, mình có thể hoàn toàn dành thời gian để nghiên cứu thị trường, cũng như xu hướng thịnh hành để thu hút thêm nhiều khách hàng hơn"
423,Beta Apartments Serviced Apartments
424,"Hồi mới kinh doanh homestay mình đã băn khoăn rằng sao nhiều hosts có thể quản lý cùng lúc nhiều chuỗi homestay như vậy. Trong khi đó, chỉ với 3 căn homestay mà mình chật vật rất nhiều. Rồi đến khi biết Cohost Club, mình đã được giải đáp. Giờ mình có thể dành thời gian networking để phát triển homestay thay vì ngồi chat với từng khách như trước"
425,Zeta Homes Chuỗi homestay
426,Đối tác
427,Những câu hỏi thường gặp Xem tất cả
428,Về tính năng Phần mềm hỗ trợ các chủ căn hộ dịch vụ trong các công việc cụ thể nào?
429,Phần mềm Cohost AI hỗ trợ chủ nhà:
